id,type,desc,category,concept,dataset,name
post secondary student,number,Number of Individuals identified with this Employment Status,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
homemaker,number,Number of Individuals identified with this Employment Status,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
unemployed,number,Number of Individuals identified with this Employment Status,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
retired,number,Number of Individuals identified with this Employment Status,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
permanently unable to work,number,Number of Individuals identified with this Employment Status,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
no response,number,Number of individuals that did not provide a response to this question,,,i88k-yen7,2016 Census - Population by Employment Status (Neighbourhood/Ward)
response date,calendar_date,Date/Time the respondent first opened/started the survey.,date,time,mt3b-mcig,City Communication - Edmonton Insight Community
completion date,calendar_date,Date/Time the respondent finished the survey.,date,time,mt3b-mcig,City Communication - Edmonton Insight Community
ostype,text,"System Captured, OS used by the respondent. Question: OS Type? - OSType Possible Answers: Mac (OS X)/Linux/Windows/iOS/Android/BlackBerry/Unknown",,,mt3b-mcig,City Communication - Edmonton Insight Community
devicetype,text,"System Captured, Device used by the respondent. Question: Device Type? - DeviceType Possible Answers: Tablet/Desktop/Phone",,,mt3b-mcig,City Communication - Edmonton Insight Community
browsertype,text,"System Captured, Browser used by the respondent. Question: Browser Type? - BrowserType Possible Answers: Internet Explorer/Firefox/Safari/Google Chrome/Opera/Android/BlackBerry/Unknown",,,mt3b-mcig,City Communication - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
elsewhere in edmonton,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
elsewhere in alberta,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
atlantic canada,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
ontario/quebec,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
territories/manitoba/saskatchewan,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
british columbia,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
outside canada,number,Number of Individuals for a Particular Location Type,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
no response,number,Number of Individuals that did not respond,population,population,i8na-b4eb,2014 Census - Previous Residence If Less Than One Year (Neighbourhood)
permit date,calendar_date,The date when Building Permit has been issued.,date,time,24uj-dj8v,General Building Permits
permit number,text,The unique City-issued permit number ,,,24uj-dj8v,General Building Permits
year,number,Year when permit was issued.,year,time,24uj-dj8v,General Building Permits
month number,number,Month number of when permit was issued,month_number,time,24uj-dj8v,General Building Permits
report permit date,calendar_date,Report label,date,time,24uj-dj8v,General Building Permits
job category,text,Type of Building Permit,,,24uj-dj8v,General Building Permits
address,text,Address that the Building Permit was issued for,address,location,24uj-dj8v,General Building Permits
legal description,text,Legal description for address where building permit was issued for.,,,24uj-dj8v,General Building Permits
neighbourhood,text,City Neighbourhood name.,neighbourbood_name,area,24uj-dj8v,General Building Permits
neighbourhood number,text,,neighbourbood_id,area,24uj-dj8v,General Building Permits
job description,text,Description of the building permit issued.,,,24uj-dj8v,General Building Permits
building type,text,Type of Building Structure,,,24uj-dj8v,General Building Permits
work type,text,Type of work to be done.,,,24uj-dj8v,General Building Permits
floor area,number,Square footage of floor area,,,24uj-dj8v,General Building Permits
construction value,number,Estimated value of construction  work ,,,24uj-dj8v,General Building Permits
zoning,text,Land use zone,,area,24uj-dj8v,General Building Permits
units added,number,Change in dwelling unit,,,24uj-dj8v,General Building Permits
latitude,number,Horizontal spatial coordinate,latitude,location,24uj-dj8v,General Building Permits
longitude,number,Vertical spatial coordinate,longitude,location,24uj-dj8v,General Building Permits
location,location,Spatial coordinates for address,location,location,24uj-dj8v,General Building Permits
count,number,Used for reporting,,,24uj-dj8v,General Building Permits
ward,text,City Ward Number,ward_name,area,qd5f-vy6n,2014 Census - Population By School Residency (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,qd5f-vy6n,2014 Census - Population By School Residency (Neighbourhood)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,qd5f-vy6n,2014 Census - Population By School Residency (Neighbourhood)
public,number,Number of Individuals Supporting School Board,population,population,qd5f-vy6n,2014 Census - Population By School Residency (Neighbourhood)
catholic,number,Number of Individuals Supporting School Board,population,population,qd5f-vy6n,2014 Census - Population By School Residency (Neighbourhood)
no response,number,Number of Individuals that did not Respond,population,population,qd5f-vy6n,2014 Census - Population By School Residency (Neighbourhood)
location description,text,A description of where along the Road Name that the enforcement zone is located,,,epqc-y5cq,All Photo Enforcement Zone Centre Points
speed limit,number,A speed limit that is being monitored and enforced (km/h),,,epqc-y5cq,All Photo Enforcement Zone Centre Points
category,text,General classification of business,,,qhi4-bdpu,City of Edmonton - Business Licenses
legal name,text,Legal Name for the business,,,qhi4-bdpu,City of Edmonton - Business Licenses
trade name,text,Common Name for the business,,,qhi4-bdpu,City of Edmonton - Business Licenses
licence number,text,Unique identifier for a business permit ,,,qhi4-bdpu,City of Edmonton - Business Licenses
licence status,text,"Current Status of Licence - Issued, Expired",,,qhi4-bdpu,City of Edmonton - Business Licenses
issue date,calendar_date,Date Business Licence Issued,date,time,qhi4-bdpu,City of Edmonton - Business Licenses
expiry date,calendar_date,Date Business Licence Is to Expire,date,time,qhi4-bdpu,City of Edmonton - Business Licenses
neighbourhood id,number,Unique number identifier for the Neighbourhood,neighbourbood_id,location,qhi4-bdpu,City of Edmonton - Business Licenses
neighbourhood,text,The name of the Neighbourhood,neighbourbood_name,location,qhi4-bdpu,City of Edmonton - Business Licenses
count,number,Used to create visual reports,,,qhi4-bdpu,City of Edmonton - Business Licenses
responsedate,calendar_date,,date,time,7ph4-x5hn,Speed Smart - Edmonton Insight Community
completiondate,calendar_date,,date,time,7ph4-x5hn,Speed Smart - Edmonton Insight Community
speed smart edmonton.ca webpage,number,,,,7ph4-x5hn,Speed Smart - Edmonton Insight Community
speed smart other:,number,,,,7ph4-x5hn,Speed Smart - Edmonton Insight Community
ostype,text,,,,7ph4-x5hn,Speed Smart - Edmonton Insight Community
devicetype,text,,,,7ph4-x5hn,Speed Smart - Edmonton Insight Community
browsertype,text,,,,7ph4-x5hn,Speed Smart - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,ec9y-ni5n,2014 Census - Population By Ownership And Length Of Residence (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Number,neighbourbood_id,area,ec9y-ni5n,2014 Census - Population By Ownership And Length Of Residence (Neighbourhood)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,ec9y-ni5n,2014 Census - Population By Ownership And Length Of Residence (Neighbourhood)
ownership,text,Ownership Type,,,ec9y-ni5n,2014 Census - Population By Ownership And Length Of Residence (Neighbourhood)
5 years or more,number,Number of Units,,,ec9y-ni5n,2014 Census - Population By Ownership And Length Of Residence (Neighbourhood)
no response,number,Number of Units,,,ec9y-ni5n,2014 Census - Population By Ownership And Length Of Residence (Neighbourhood)
structure type,text,Building Structure Type,,,76kk-asiv,2016 Census - Dwelling Unit by Structure Type and Ownership (Citywide)
owned,number,Number of Dwellings that are owned,,,76kk-asiv,2016 Census - Dwelling Unit by Structure Type and Ownership (Citywide)
rented,number,Number of Dwellings that are rented,,,76kk-asiv,2016 Census - Dwelling Unit by Structure Type and Ownership (Citywide)
no response,number,Number of Dwellings that did not Respond,,,76kk-asiv,2016 Census - Dwelling Unit by Structure Type and Ownership (Citywide)
facility type,text,Type of Drainage Facility - default is Inlet-Outlet,,,eu53-j7sn,Drainage - Inlets/Outlets
type,text,Type of Inlet-Outlet - stormwater,,,eu53-j7sn,Drainage - Inlets/Outlets
year constructed,number,Year in which the Inlet-Outlet was built,year,time,eu53-j7sn,Drainage - Inlets/Outlets
neighbourhood id,number,Unique Neighbourhood Identification Number,neighbourbood_id,area,eu53-j7sn,Drainage - Inlets/Outlets
neighbourhood name,text,Name of Neighbourhood Inlet-Outlet is located,neighbourbood_name,area,eu53-j7sn,Drainage - Inlets/Outlets
ward,text,Name of Ward Inlet-Outlet s located,ward_name,area,eu53-j7sn,Drainage - Inlets/Outlets
street / avenue,text,Name of Street / Avenue where Inlet-Outlet is located ,address,location,eu53-j7sn,Drainage - Inlets/Outlets
latitude,number,Latitude coordinates for an Inlet-Outlet,latitude,location,eu53-j7sn,Drainage - Inlets/Outlets
longitude,number,Longitude coordinates for a Inlet-Outlet,longitude,location,eu53-j7sn,Drainage - Inlets/Outlets
location,location,"List of coordinates for a Inlet-Outlet Format (latitude, longitude)",location,location,eu53-j7sn,Drainage - Inlets/Outlets
responsedate,calendar_date,"
Date/Time the respondent first opened/started the survey.
",date,time,6m6z-ybit,New Years Eve Downtown - Edmonton Insight Community
completiondate,calendar_date,"
Date/Time the respondent finished the survey.
",date,time,6m6z-ybit,New Years Eve Downtown - Edmonton Insight Community
ostype,text,"
System Captured, OS used by the respondent. Question: OS Type? - OSType || Possible Answers: Mac (OS X)/Linux/Windows/iOS/Android/BlackBerry/Unknown
",,,6m6z-ybit,New Years Eve Downtown - Edmonton Insight Community
devicetype,text,"
System Captured, Device used by the respondent. Question: Device Type? - DeviceType || Possible Answers: Tablet/Desktop/Phone
",,,6m6z-ybit,New Years Eve Downtown - Edmonton Insight Community
browsertype,text,"
System Captured, Browser used by the respondent. Question: Browser Type? - BrowserType || Possible Answers: Internet Explorer/Firefox/Safari/Google Chrome/Opera/Android/BlackBerry/Unknown
",,,6m6z-ybit,New Years Eve Downtown - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
elsewhere in edmonton,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
elsewhere in alberta,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
atlantic canada,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
ontario/quebec,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
territories/manitoba/saskatchewan,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
british columbia,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
outside canada,number,Number of Individuals for a Particular Location Type,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
no response,number,Number of Individuals that did not respond,population,population,hda9-ip2g,2016 Census - Previous Residence If Less Than One Year (Neighbourhood/Ward)
dwelling status,text,Dwelling Status Type,,,bk4g-yv6v,2016 Census - Dwelling Unit Status (Citywide)
dwellings,number,Number of Units,,,bk4g-yv6v,2016 Census - Dwelling Unit Status (Citywide)
ward,text,,,,6x5f-8hj7,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Ward)
structure type,text,,,,6x5f-8hj7,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Ward)
5 years or more,number,,,,6x5f-8hj7,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Ward)
no response,number,,,,6x5f-8hj7,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Ward)
responsedate,calendar_date,,date,time,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
completiondate,calendar_date,,date,time,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
gender,text,,gender,sex,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
age,text,,age,age,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
education,text,,,,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
employment status,text,,,,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
fsa,text,,postal_code,location,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
ostype,text,,,,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
devicetype,text,,,,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
browsertype,text,,,,9kdx-y5ve,Food Council 2017 - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
accommodation and food services,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
"administration, waste and remediation",number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
construction,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
educational services,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
manufacturing,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
public administration,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
transportation and warehousing,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
utilities,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
wholesale and retail trade,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
other,number,Number of Persons for particular Employment Sector,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
no response,number,Number of individuals that did not provide a response to this question,population,population,7ds8-hpvz,2016 Census - Population by Employment Sector ( Neighbourhood/Ward)
responsedate,calendar_date,,date,time,5iq2-kd7q,Parking - Edmonton Insight Community
completiondate,calendar_date,,date,time,5iq2-kd7q,Parking - Edmonton Insight Community
ostype,text,,,,5iq2-kd7q,Parking - Edmonton Insight Community
devicetype,text,,,,5iq2-kd7q,Parking - Edmonton Insight Community
browsertype,text,,,,5iq2-kd7q,Parking - Edmonton Insight Community
trap date,calendar_date,Date when the mosquito traps are collected. An empty mosquito traps are replaced for the next collection at the same time.,date,time,5zeu-wkpv,Mosquitoes Trap Data
genus,text,Low-level taxonomic ranking for biological classification,,,5zeu-wkpv,Mosquitoes Trap Data
species,text,Lowest taxonomic rank and having common characteristics and (usually) capable of mating with one another. ,,,5zeu-wkpv,Mosquitoes Trap Data
type,text,Essential characteristics of the genus,,,5zeu-wkpv,Mosquitoes Trap Data
gender,text,Female or male,gender,sex,5zeu-wkpv,Mosquitoes Trap Data
rural north west,number,Rural northwest part of Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
rural north east,number,Rural northeast part of Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
rural south east,number,Rural southeast  part of Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
river valley east,number,Eastern part of River Valley in Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
river valley west,number,Western part of the River Valley in Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
residential north,number,Northern residential part of Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
rural south west,number,Rural southwest part of Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
lagoon,number,Water-area location,,,5zeu-wkpv,Mosquitoes Trap Data
golf course,number,Mill Woods Golf Course,,,5zeu-wkpv,Mosquitoes Trap Data
industrial park,number,,,,5zeu-wkpv,Mosquitoes Trap Data
residential south,number,Southern residential part of Edmonton,,,5zeu-wkpv,Mosquitoes Trap Data
total,number,Total number of mosquitoes trapped from all locations,,,5zeu-wkpv,Mosquitoes Trap Data
citizenship,text,Type of Citizenship,,,y8it-9743,2016 Census - Population by Citizenship (Citywide)
population,number,Total Number of Individuals,population,population,y8it-9743,2016 Census - Population by Citizenship (Citywide)
dwelling unit ownership,text,Ownership Type,,,dmit-4n8t,2016 Census - Dwelling Unit by Ownership (Citywide)
dwellings,number,Number of Dwelling Units,,,dmit-4n8t,2016 Census - Dwelling Unit by Ownership (Citywide)
mode of transportation,text,Transportation Type,,,27yp-fugi,2016 Census - Population by Mode of Transportation (Citywide)
population,number,Number of individuals,population,population,27yp-fugi,2016 Census - Population by Mode of Transportation (Citywide)
device op status code,number,The operational status code for the device.  1 = Out of Service 0 = In Service,,,snws-u3zx,LRT Elevator/Escalator Outages
device op status,text,The operational status of the device,,,snws-u3zx,LRT Elevator/Escalator Outages
device type,text,The type of device (escalator or elevator),,,snws-u3zx,LRT Elevator/Escalator Outages
device id,number,The unique ID assigned to the device,,,snws-u3zx,LRT Elevator/Escalator Outages
lrt station id,text,Three letter abbreviation/code assigned to the LRT station,,,snws-u3zx,LRT Elevator/Escalator Outages
lrt station name,text,Name of the LRT station,,,snws-u3zx,LRT Elevator/Escalator Outages
lrt route,text,The LRT line/route that the device can be found on,,,snws-u3zx,LRT Elevator/Escalator Outages
lrt stop,text,The LRT stop that the device can be found at,,,snws-u3zx,LRT Elevator/Escalator Outages
lrt device location,text,A brief description of where the device can be located at the LRT Stop and LRT Route,,,snws-u3zx,LRT Elevator/Escalator Outages
since time stamp,calendar_date,The date and time of when the Device went Out of Service,date,time,snws-u3zx,LRT Elevator/Escalator Outages
polled time stamp,calendar_date,The date and time that the Op Status for the Device was last updated.,date,time,snws-u3zx,LRT Elevator/Escalator Outages
responsedate,calendar_date,,date,time,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
completiondate,calendar_date,,date,time,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
imaginejasperave usertypes other,number,,,,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
imaginejasper yesno,text,,,,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
ostype,text,,,,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
devicetype,text,,,,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
browsertype,text,,,,ebg5-nbub,Imagine Jasper Avenue - Edmonton Insight Community
meeting id,number,Foreign Key Identifier - see Meeting Details dataset for the type and date of the meeting,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
item id,number,Foreign Key Identifier - see Agenda Items dataset for the related agenda item,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
motion id,text,Primary Key / Unique Motion Identifier. It's Hex-based ID.,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
motion mover,text,Name of the committee member who introduced the motion,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
motion seconder,text,A Seconder is only required for motions made at Council meetings (it is not required for Committee meetings).,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
motion description,text,Text of the motion or inquiry as introduced to the committee,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
motion status,text,Indicates whether the motion was 'Carried' or 'Failed'.  A status of 'None' or 'No Vote' indicates that no vote was taken on the motion or inquiry.,,,smk2-dtnx,2013-2017 Council And Committee Meetings - Motions
facility type,text,Type of Drainage Facility - default is Pump Station,,,ryeb-sgt7,Drainage - Pump Stations
name,text,Name of Pumping Station,,,ryeb-sgt7,Drainage - Pump Stations
type,text,"Type of Pump Station - storm, sanitary, combined",,,ryeb-sgt7,Drainage - Pump Stations
